epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.021,1.59539,1.44793,1.46665,0.8015,0.75273,0.86712,0.36405,1.97363,1.25266,1.77374,0.000664444,0.000664444,0.000664444
2,643.626,1.31661,0.85546,1.26619,0.89897,0.84393,0.92686,0.42116,1.87759,0.85246,1.79204,0.00130476,0.00130476,0.00130476
3,959.61,1.18469,0.69455,1.18643,0.92197,0.86509,0.94118,0.48637,1.67285,0.8287,1.60353,0.00191867,0.00191867,0.00191867
4,1276.13,1.13738,0.6643,1.16534,0.94728,0.9116,0.97132,0.53945,1.54722,0.69371,1.55555,0.0018812,0.0018812,0.0018812
5,1595.44,1.1375,0.65401,1.15887,0.86499,0.78805,0.84864,0.45178,1.66107,1.07961,1.54908,0.0018416,0.0018416,0.0018416
6,1935.19,1.04434,0.61518,1.10223,0.88991,0.89017,0.94343,0.49657,1.67215,0.74251,1.61963,0.001802,0.001802,0.001802
7,2254.43,1.06016,0.60831,1.12009,0.94656,0.92153,0.96483,0.52429,1.5912,0.64751,1.54125,0.0017624,0.0017624,0.0017624
